(197,159),(46,122),(195,188),(120,195),(188,113),(196,159),(119,195),(167,100),(97,197),(159,115),-0.096x+168.617,33.600,1333.827,36.522
(100,105),(99,119),(113,112),(226,130),(172,195),(162,194),(182,195),(162,194),(167,195),(162,194),0.553x+77.809,28.100,1057.415,32.518
(167,100),(92,92),(195,162),(92,195),(162,194),(167,92),(112,42),(51,49),(50,52),(105,197),0.506x+57.152,47.200,3048.123,55.210
(159,100),(97,100),(97,115),(105,100),(195,167),(196,159),(49,50),(51,52),(48,42),(51,50),0.716x+18.435,10.400,220.692,14.856
(116,119),(101,111),(109,115),(107,108),(48,51),(50,57),(52,48),(57,51),(56,50),(52,48),1.101x+-6.555,3.800,22.013,4.692
(57,51),(50,56),(52,57),(97,10),(97,195),(167,115),(46,99),(195,167),(97,99),(197,159),0.604x+37.067,29.900,1974.460,44.435
(108,195),(182,97),(115,197),(159,100),(107,119),(113,111),(195,167),(102,46),(195,167),(46,195),-0.138x+157.696,44.300,2391.218,48.900
(182,197),(159,105),(97,197),(159,100),(195,188),(113,196),(159,119),(112,101),(113,119),(196,159),0.104x+132.724,38.000,1673.826,40.912
(97,115),(107,100),(106,107),(108,119),(113,106),(101,107),(108,97),(100,108),(107,115),(97,100),-0.041x+111.716,5.000,46.997,6.855
(107,108),(115,97),(107,100),(108,97),(115,100),(97,115),(107,100),(107,97),(115,100),(107,115),-0.815x+191.345,4.000,27.716,5.265
(97,107),(100,107),(100,195),(182,195),(167,99),(195,167),(195,182),(99,195),(167,122),(195,182),0.201x+124.961,33.800,1450.182,38.081
(195,167),(195,182),(195,167),(195,182),(50,49),(51,57),(50,49),(196,177),(57,48),(51,113),0.778x+23.027,12.700,349.909,18.706
(119,195),(167,101),(100,97),(195,182),(100,46),(195,167),(195,182),(107,113),(108,195),(182,113),0.441x+74.360,37.800,2068.393,45.480
(195,182),(97,108),(100,97),(46,195),(167,122),(195,182),(100,197),(159,108),(115,195),(182,100),-0.151x+169.066,40.300,1737.946,41.689
(48,108),(46,195),(167,195),(182,122),(195,167),(195,182),(99,196),(159,97),(115,195),(188,196),0.021x+162.360,33.200,1462.240,38.239
(159,113),(195,188),(196,159),(113,196),(159,226),(130,172),(194,182),(226,130),(172,195),(162,195),-0.346x+234.700,23.100,897.013,29.950
(162,195),(167,99),(46,97),(115,108),(114,51),(195,167),(46,195),(182,195),(182,195),(182,195),0.372x+97.998,40.500,2345.143,48.427
(182,195),(167,195),(182,195),(167,195),(182,42),(196,159),(195,188),(97,115),(100,97),(115,100),0.696x+37.923,32.700,2118.139,46.023
(97,115),(100,97),(115,100),(97,115),(100,97),(115,100),(97,115),(99,120),(122,120),(99,10),0.528x+43.884,18.500,935.891,30.592
(197,159),(46,122),(195,188),(120,195),(188,113),(196,159),(119,195),(167,100),(97,197),(159,115),-0.096x+168.617,33.600,1333.827,36.522
(100,105),(99,119),(113,112),(226,130),(172,195),(162,194),(182,195),(162,194),(167,195),(162,194),0.553x+77.809,28.100,1057.415,32.518
(167,100),(92,92),(195,162),(92,195),(162,194),(167,92),(112,42),(51,49),(50,52),(105,197),0.506x+57.152,47.200,3048.123,55.210
(159,100),(97,100),(97,115),(105,100),(195,167),(196,159),(49,50),(51,52),(48,42),(51,50),0.716x+18.435,10.400,220.692,14.856
(116,119),(101,111),(109,115),(107,108),(97,115),(100,107),(109,119),(113,106),(101,196),(177,111),-0.212x+144.706,14.900,627.361,25.047
(113,119),(106,101),(196,177),(111,113),(119,106),(101,10),(97,195),(167,115),(46,99),(195,167),0.493x+58.528,28.500,1938.454,44.028
(97,99),(197,159),(108,195),(182,97),(115,197),(159,100),(107,119),(113,111),(195,167),(102,46),0.222x+98.461,37.000,2065.729,45.450
(195,167),(46,195),(182,197),(159,105),(97,197),(159,100),(195,188),(113,196),(159,119),(112,101),-0.172x+180.893,38.900,1713.221,41.391
(113,119),(196,159),(97,115),(107,100),(106,107),(108,119),(113,106),(101,107),(108,97),(100,108),0.540x+51.670,5.600,55.562,7.454
(107,115),(97,100),(107,108),(115,97),(107,100),(108,97),(115,100),(97,115),(107,100),(107,97),-0.513x+157.632,4.700,37.057,6.087
(115,100),(107,115),(97,107),(100,107),(100,195),(182,195),(167,99),(195,167),(195,182),(99,195),0.320x+102.801,34.100,1554.904,39.432
(167,122),(195,182),(195,167),(195,182),(195,167),(195,182),(50,49),(51,57),(50,49),(196,177),0.847x+7.295,7.200,110.472,10.511
(57,48),(51,113),(119,195),(167,101),(100,97),(195,182),(100,46),(195,167),(195,182),(107,113),0.661x+39.436,28.800,1473.479,38.386
(108,195),(182,113),(195,182),(97,108),(100,97),(46,195),(167,122),(195,182),(100,197),(159,108),-0.137x+168.326,39.000,1635.751,40.444
(115,195),(182,100),(48,108),(46,195),(167,195),(182,122),(195,167),(195,182),(99,196),(159,97),-0.122x+172.587,38.400,1658.820,40.729
(115,195),(188,196),(159,113),(195,188),(196,159),(113,196),(159,226),(130,172),(194,182),(226,130),-0.306x+227.030,22.800,897.265,29.954
(172,195),(162,195),(162,195),(167,99),(46,97),(115,108),(114,51),(195,167),(46,195),(182,195),0.351x+101.980,41.800,2415.104,49.144
(182,195),(182,195),(182,195),(167,195),(182,195),(167,195),(182,42),(196,159),(195,188),(10,197),-0.159x+201.680,28.700,2030.734,45.064
(159,46),(122,195),(188,120),(195,188),(113,196),(159,119),(195,167),(100,97),(197,159),(115,100),0.182x+110.625,39.800,2221.525,47.133
(105,99),(119,113),(112,226),(130,172),(195,162),(194,182),(195,162),(194,167),(195,162),(194,167),0.211x+126.796,20.800,1034.633,32.166
(100,92),(92,195),(162,92),(195,162),(194,167),(92,112),(42,51),(49,50),(52,105),(197,159),0.507x+58.946,25.500,1325.142,36.403
(100,97),(100,97),(115,105),(100,195),(167,196),(159,49),(50,51),(52,48),(42,51),(50,116),0.570x+47.167,36.400,2264.474,47.586
(119,101),(111,109),(115,107),(108,99),(97,99),(115,97),(101,119),(113,101),(119,113),(101,97),0.060x+97.648,5.700,50.364,7.097
(115,10),(97,195),(167,115),(46,99),(195,167),(97,99),(197,159),(108,195),(182,97),(115,197),0.125x+116.833,47.400,3231.889,56.850
(159,100),(107,119),(113,111),(195,167),(102,46),(195,167),(46,195),(182,197),(159,105),(97,197),0.062x+131.983,43.100,2383.643,48.823
(159,100),(195,188),(113,196),(159,119),(112,101),(113,119),(196,159),(97,115),(107,100),(106,107),0.445x+70.055,21.500,961.888,31.014
(108,119),(113,106),(101,107),(108,97),(100,108),(107,115),(97,100),(107,108),(115,97),(107,100),-0.107x+117.042,5.200,48.890,6.992
(108,97),(115,100),(97,115),(107,100),(107,97),(115,100),(107,115),(97,107),(100,10),(107,100),0.946x+-6.139,16.000,793.983,28.178
